product_id,product_name,category,price,stock_quantity,supplier,rating,description
1,Mouse Ultra 728,Accessories,16437.19,156,TechieStore,2.4,Latest model
2,SSD S 535,Electronics,64709.06,783,SmartMart,3.6,Best seller
3,Laptop Ultra 882,Accessories,74642.59,1070,TechWorld,4.3,Value for money
4,Monitor Mini 414,Computers,95089.23,1678,ElectroHub,3.7,Limited edition
5,Laptop X 171,Audio,37980.15,607,SmartMart,3.6,Limited edition
6,Headphones Pro 395,Storage,18313.33,1646,PrimeSupplies,3.7,High quality
7,Smartwatch Ultra 186,Computers,86494.32,976,TechieStore,1.8,Ergonomic design
8,Smartwatch Ultra 683,Networking,18943.56,603,ElectroHub,3.5,Compact and powerful
9,Laptop Air 402,Storage,47282.99,1792,SmartMart,4.1,Ergonomic design
10,Printer Pro 363,Computers,86201.21,119,ElectroHub,2.0,Best seller
11,Monitor Air 270,Gadgets,75087.96,1175,PrimeSupplies,4.0,Ergonomic design
12,Smartwatch S 268,Audio,75587.17,1920,SmartMart,4.8,Limited edition
13,Phone Plus 323,Networking,76188.38,1996,ElectroHub,4.9,High quality
14,Mouse Prime 492,Accessories,42093.52,1293,PrimeSupplies,1.2,Latest model
15,Mouse S 529,Computers,79441.69,949,ElectroHub,4.9,Ergonomic design
16,Headphones S 778,Networking,94972.47,1116,SmartMart,3.7,Value for money
17,Mouse X 907,Audio,51338.92,962,GadgetZone,2.0,Ergonomic design
18,Monitor Prime 618,Gadgets,54758.82,675,SmartMart,2.7,Long battery life
19,Phone X 559,Networking,33738.03,1748,PrimeSupplies,4.0,Ergonomic design
20,Tablet Mini 243,Gadgets,9043.16,1048,TechieStore,3.0,Latest model
21,Keyboard Plus 464,Audio,10700.72,1947,SmartMart,1.4,Compact and powerful
22,SSD X 651,Networking,34863.2,233,ElectroHub,1.3,High quality
23,Laptop Prime 265,Storage,53453.54,826,TechWorld,1.2,Value for money
24,Monitor Air 257,Computers,30930.77,1060,SmartMart,2.8,High quality
25,Charger Neo 982,Gadgets,90741.93,230,TechieStore,3.0,Long battery life
26,Tablet Mini 456,Computers,58168.52,226,TechWorld,2.7,Long battery life
27,Mouse Neo 826,Computers,90814.32,1292,PrimeSupplies,2.5,Value for money
28,Keyboard Pro 209,Accessories,18539.64,910,PrimeSupplies,4.0,Latest model
29,SSD Plus 599,Electronics,31585.65,122,ElectroHub,3.5,Compact and powerful
30,Router Pro 818,Networking,41911.12,1333,ElectroHub,2.7,Limited edition
31,Camera Mini 375,Networking,98907.48,1414,TechieStore,3.2,Best seller
32,Smartwatch Prime 901,Networking,59922.92,293,SmartMart,2.3,Best seller
33,Camera X 925,Computers,3123.39,444,TechWorld,3.1,Value for money
34,Headphones X 839,Networking,8187.86,1998,SmartMart,3.2,Long battery life
35,Mouse Plus 808,Networking,20260.29,1717,SmartMart,2.5,Latest model
36,Laptop Neo 860,Networking,41695.84,944,GadgetZone,3.8,Compact and powerful
37,Router Prime 469,Storage,81617.29,1245,TechWorld,2.6,Long battery life
38,Camera Neo 107,Electronics,26088.79,755,ElectroHub,2.7,Best seller
39,Smartwatch Air 156,Accessories,43110.66,1902,TechieStore,2.0,Best seller
40,Smartwatch Ultra 486,Gadgets,76678.85,877,TechieStore,2.0,Latest model
41,Headphones Pro 475,Electronics,6328.47,976,TechWorld,4.2,Best seller
42,Headphones Plus 900,Storage,74859.48,258,PrimeSupplies,1.6,Best seller
43,Keyboard Prime 792,Audio,67659.66,877,TechieStore,1.4,High quality
44,Camera Air 448,Networking,2664.04,1430,GadgetZone,3.7,Limited edition
45,SSD Max 145,Accessories,542.2,357,ElectroHub,4.4,Compact and powerful
46,SSD X 302,Gadgets,4245.07,352,GadgetZone,3.2,High quality
47,Speaker Max 698,Storage,31141.9,840,TechWorld,1.8,Best seller
48,Router Air 554,Audio,22608.19,70,GadgetZone,1.3,High quality
49,SSD Mini 189,Storage,79691.47,106,TechieStore,3.2,Latest model
50,Laptop X 370,Audio,16085.0,1469,TechWorld,2.8,Ergonomic design
51,Laptop Prime 286,Gadgets,82277.48,1593,TechWorld,1.7,Latest model
52,SSD Ultra 383,Audio,2687.98,802,TechieStore,3.7,Value for money
53,Smartwatch Pro 623,Audio,69628.96,938,ElectroHub,5.0,Ergonomic design
54,Monitor Air 123,Storage,7093.12,170,ElectroHub,4.7,Long battery life
55,Speaker S 216,Electronics,76267.0,1830,TechWorld,2.7,Long battery life
56,Router Neo 332,Accessories,73278.42,567,PrimeSupplies,1.5,Best seller
57,Monitor Max 567,Computers,52169.15,734,TechWorld,3.1,High quality
58,Router X 610,Audio,55850.83,983,PrimeSupplies,2.3,High quality
59,Tablet Plus 242,Accessories,45734.17,1924,PrimeSupplies,2.8,Limited edition
60,Speaker Plus 893,Accessories,7033.66,1496,ElectroHub,3.6,Ergonomic design
61,Headphones Prime 976,Gadgets,66434.24,97,SmartMart,3.7,Ergonomic design
62,Router X 656,Storage,81529.44,214,ElectroHub,4.0,Value for money
63,Charger Air 413,Accessories,95098.45,1735,TechWorld,1.8,High quality
64,Printer Pro 362,Gadgets,92921.8,366,GadgetZone,1.3,Limited edition
65,Headphones X 772,Audio,64120.69,622,TechWorld,3.2,Ergonomic design
66,Tablet Pro 312,Audio,85875.01,1402,SmartMart,4.5,Best seller
67,Keyboard Pro 989,Gadgets,71883.17,1836,SmartMart,4.2,Compact and powerful
68,Smartwatch S 388,Accessories,22441.55,369,PrimeSupplies,3.4,Value for money
69,SSD Neo 170,Electronics,90365.32,1271,SmartMart,3.2,Long battery life
70,Keyboard Air 744,Accessories,55185.98,995,TechieStore,1.7,Latest model
71,Phone Air 165,Audio,58733.53,920,ElectroHub,1.1,High quality
72,SSD Max 576,Accessories,49636.27,580,GadgetZone,1.6,High quality
73,Monitor Max 150,Computers,17680.84,888,PrimeSupplies,3.0,Limited edition
74,Tablet Air 535,Computers,16930.09,1208,ElectroHub,2.4,Best seller
75,Phone Neo 809,Audio,59684.29,1977,SmartMart,1.4,Long battery life
76,Router Pro 555,Electronics,21950.63,1065,TechieStore,2.6,Value for money
77,Charger S 225,Gadgets,52497.87,863,GadgetZone,2.7,High quality
78,Monitor Pro 961,Audio,47658.4,1204,SmartMart,2.3,Ergonomic design
79,Keyboard Max 521,Audio,9468.03,277,SmartMart,3.0,Latest model
80,Camera S 650,Accessories,96960.09,76,TechWorld,2.7,Value for money
81,Camera Ultra 749,Networking,99759.33,1296,ElectroHub,2.1,Ergonomic design
82,Speaker Plus 480,Accessories,85438.39,233,GadgetZone,5.0,Value for money
83,Printer Plus 111,Storage,21622.2,944,TechWorld,1.1,High quality
84,Headphones S 738,Computers,65603.91,429,TechieStore,3.3,Value for money
85,Tablet Plus 847,Computers,49874.15,3,TechWorld,4.6,Compact and powerful
86,Tablet Mini 834,Gadgets,56412.51,1283,TechWorld,1.9,High quality
87,Keyboard Max 408,Accessories,13917.31,1488,ElectroHub,1.4,Ergonomic design
88,Mouse Air 192,Accessories,24565.23,195,SmartMart,4.6,Latest model
89,Speaker S 391,Electronics,53358.77,294,SmartMart,3.1,High quality
90,Tablet X 644,Computers,44848.84,1803,TechieStore,3.5,Latest model
91,Printer Neo 469,Computers,30214.14,1862,SmartMart,1.3,Best seller
92,Speaker Air 116,Audio,26653.33,1867,SmartMart,4.2,Best seller
93,Headphones Plus 860,Accessories,6788.46,860,ElectroHub,1.5,Limited edition
94,SSD X 636,Storage,46888.9,632,TechieStore,4.6,Compact and powerful
95,SSD Ultra 833,Networking,97960.18,1260,TechieStore,3.4,Best seller
96,Router Neo 337,Computers,89040.76,907,PrimeSupplies,2.2,Compact and powerful
97,Router S 713,Audio,10256.78,1065,SmartMart,3.4,Ergonomic design
98,Camera Neo 448,Accessories,25324.32,1719,PrimeSupplies,2.9,Compact and powerful
99,Monitor Pro 192,Accessories,48057.31,1321,TechWorld,1.1,Long battery life
100,Phone Max 176,Accessories,43013.49,1275,TechWorld,3.6,Value for money
101,SSD Neo 777,Accessories,89064.24,1058,TechieStore,2.2,Compact and powerful
102,Charger Ultra 656,Storage,89827.52,1651,SmartMart,4.4,Latest model
103,Monitor Plus 288,Storage,89985.39,1387,ElectroHub,1.8,High quality
104,Monitor Plus 334,Computers,95647.27,85,ElectroHub,2.5,Ergonomic design
105,Phone Plus 786,Electronics,10454.67,1777,PrimeSupplies,1.0,Best seller
106,Headphones Mini 313,Storage,19350.5,331,ElectroHub,2.2,Value for money
107,Tablet X 393,Networking,49393.1,290,PrimeSupplies,5.0,Value for money
108,Phone Air 574,Accessories,2215.72,1015,TechWorld,3.6,Latest model
109,Router Max 297,Accessories,14629.09,997,ElectroHub,1.7,Value for money
110,Camera Prime 854,Audio,15612.89,538,TechieStore,4.3,Best seller
111,Phone Air 873,Gadgets,13472.49,892,ElectroHub,3.3,Latest model
112,Mouse S 649,Accessories,74632.28,1689,TechWorld,1.1,Limited edition
113,Printer X 403,Gadgets,17381.64,690,GadgetZone,4.8,Ergonomic design
114,Charger Air 490,Accessories,54122.68,1125,SmartMart,2.3,Latest model
115,Tablet Prime 381,Audio,14708.13,778,TechieStore,2.4,Value for money
116,Smartwatch Air 778,Accessories,12519.18,588,ElectroHub,3.5,Best seller
117,Charger Prime 454,Networking,41402.03,1159,TechieStore,3.7,Latest model
118,Smartwatch Pro 309,Electronics,45693.03,1788,TechWorld,3.1,Compact and powerful
119,Headphones Plus 283,Storage,95754.0,437,SmartMart,4.9,Limited edition
120,Laptop Prime 490,Audio,45699.7,1248,TechWorld,4.7,Limited edition
121,Camera S 765,Audio,75397.71,1119,TechieStore,1.6,Latest model
122,Monitor Air 108,Storage,98808.01,898,ElectroHub,3.4,Ergonomic design
123,Router Prime 286,Electronics,80224.36,1702,TechieStore,2.1,Best seller
124,Charger Neo 867,Electronics,6523.03,1970,PrimeSupplies,1.4,Compact and powerful
125,Headphones S 725,Computers,45201.36,1523,ElectroHub,2.3,Latest model
126,Keyboard S 648,Storage,1683.6,105,SmartMart,4.7,Long battery life
127,Mouse Air 608,Electronics,30863.68,861,PrimeSupplies,3.6,Latest model
128,Keyboard Plus 299,Accessories,94678.68,308,TechieStore,4.8,Limited edition
129,Keyboard Air 940,Accessories,9927.42,1204,PrimeSupplies,4.0,High quality
130,Tablet S 761,Computers,63947.42,232,GadgetZone,3.7,Limited edition
131,SSD Max 141,Computers,98785.64,631,SmartMart,1.9,Value for money
132,Charger Prime 567,Gadgets,10704.16,1135,SmartMart,1.1,Best seller
133,Router Ultra 961,Computers,41748.76,1528,GadgetZone,1.4,Compact and powerful
134,Phone Neo 737,Computers,82452.53,1277,TechWorld,1.7,Long battery life
135,Printer Mini 150,Storage,12770.87,1840,GadgetZone,2.5,High quality
